Region,Instance Type,API Name,Memory (MB),Disk (GB),Compute Units,Virtual Cores,Disk Type,OD Linux PPH,OD Windows PPH,OD RHEL PPH,OD SLES PPH,OD MsWinSQL PPH,OD MsWinSQLWeb PPH,year1 light linux Prepay,year1 light linux PPH,year1 light mswin Prepay,year1 light mswin PPH,year1 light rhel Prepay,year1 light rhel PPH,year1 light sles Prepay,year1 light sles PPH,year1 light mswinSQL Prepay,year1 light mswinSQL PPH,year1 light mswinSQLWeb Prepay,year1 light mswinSQLWeb PPH,year1 medium linux Prepay,year1 medium linux PPH,year1 medium mswin Prepay,year1 medium mswin PPH,year1 medium rhel Prepay,year1 medium rhel PPH,year1 medium sles Prepay,year1 medium sles PPH,year1 medium mswinSQL Prepay,year1 medium mswinSQL PPH,year1 medium mswinSQLWeb Prepay,year1 medium mswinSQLWeb PPH,year1 heavy linux Prepay,year1 heavy linux PPH,year1 heavy mswin Prepay,year1 heavy mswin PPH,year1 heavy rhel Prepay,year1 heavy rhel PPH,year1 heavy sles Prepay,year1 heavy sles PPH,year1 heavy mswinSQL Prepay,year1 heavy mswinSQL PPH,year1 heavy mswinSQLWeb Prepay,year1 heavy mswinSQLWeb PPH,year3 light linux Prepay,year3 light linux PPH,year3 light mswin Prepay,year3 light mswin PPH,year3 light rhel Prepay,year3 light rhel PPH,year3 light sles Prepay,year3 light sles PPH,year3 light mswinSQL Prepay,year3 light mswinSQL PPH,year3 light mswinSQLWeb Prepay,year3 light mswinSQLWeb PPH,year3 medium linux Prepay,year3 medium linux PPH,year3 medium mswin Prepay,year3 medium mswin PPH,year3 medium rhel Prepay,year3 medium rhel PPH,year3 medium sles Prepay,year3 medium sles PPH,year3 medium mswinSQL Prepay,year3 medium mswinSQL PPH,year3 medium mswinSQLWeb Prepay,year3 medium mswinSQLWeb PPH,year3 heavy linux Prepay,year3 heavy linux PPH,year3 heavy mswin Prepay,year3 heavy mswin PPH,year3 heavy rhel Prepay,year3 heavy rhel PPH,year3 heavy sles Prepay,year3 heavy sles PPH,year3 heavy mswinSQL Prepay,year3 heavy mswinSQL PPH,year3 heavy mswinSQLWeb Prepay,year3 heavy mswinSQLWeb PPH
us-east,High I/O Quadruple Extra Large,hi1.4xlarge,60500.0,2048,35,16,ssd,3.1,3.58,3.23,3.2,4.607,3.66,2576.0,1.477,2576.0,1.957,2576.0,1.577,2776.0,1.491,6824.0,3.116,4124.0,1.883,5973.0,0.909,5973.0,1.389,5973.0,1.009,6165.0,0.922,8135.0,2.786,4760.0,1.63,7280.0,0.621,7280.0,1.101,7280.0,0.721,7456.0,0.633,9197.0,1.575,7269.0,1.146,3884.0,1.15,3884.0,1.63,3884.0,1.25,4284.0,1.164,17984.0,2.737,9884.0,1.504,9133.0,0.705,9133.0,1.185,9133.0,0.805,9517.0,0.718,20869.0,2.382,10744.0,1.226,10960.0,0.482,10960.0,0.962,10960.0,0.582,11312.0,0.494,21772.0,1.243,11587.0,0.981
us-west-2,M3 Medium Instance,m3.medium,3750.0,4,3,1,ssd,0.07,0.133,0.13,0.17,0.356,0.187,110.0,0.064,129.0,0.107,110.0,0.124,310.0,0.075,393.0,0.179,229.0,0.104,181.0,0.027,243.0,0.064,181.0,0.087,373.0,0.038,564.0,0.15,266.0,0.091,222.0,0.018,300.0,0.053,222.0,0.078,398.0,0.029,668.0,0.114,385.0,0.066,172.0,0.05,199.0,0.092,172.0,0.11,572.0,0.061,1061.0,0.161,570.0,0.086,286.0,0.022,394.0,0.059,286.0,0.082,670.0,0.033,1241.0,0.142,631.0,0.072,337.0,0.015,477.0,0.05,337.0,0.075,689.0,0.026,1731.0,0.099,882.0,0.05
us-west-2,M3 Large Instance,m3.large,7500.0,32,6,2,ssd,0.14,0.266,0.2,0.24,0.711,0.374,220.0,0.127,258.0,0.214,220.0,0.187,420.0,0.138,786.0,0.358,458.0,0.209,362.0,0.055,490.0,0.129,362.0,0.115,554.0,0.066,1129.0,0.301,506.0,0.174,443.0,0.037,602.0,0.106,443.0,0.097,619.0,0.048,1337.0,0.229,732.0,0.125,343.0,0.101,398.0,0.184,343.0,0.161,743.0,0.112,2122.0,0.322,1140.0,0.173,571.0,0.043,785.0,0.117,571.0,0.103,955.0,0.054,2481.0,0.283,1200.0,0.137,673.0,0.03,954.0,0.099,673.0,0.09,1025.0,0.041,3463.0,0.198,1677.0,0.096
us-west-2,M3 Extra Large Instance,m3.xlarge,15000.0,80,13,4,ssd,0.28,0.532,0.34,0.38,1.28,0.748,439.0,0.254,516.0,0.428,439.0,0.314,639.0,0.265,1571.0,0.716,915.0,0.417,724.0,0.109,980.0,0.258,724.0,0.169,916.0,0.12,2257.0,0.601,1012.0,0.347,886.0,0.074,1200.0,0.211,886.0,0.134,1062.0,0.085,2673.0,0.457,1464.0,0.251,686.0,0.201,795.0,0.367,686.0,0.261,1086.0,0.212,4244.0,0.644,2279.0,0.345,1142.0,0.086,1570.0,0.233,1142.0,0.146,1526.0,0.097,4962.0,0.566,2399.0,0.273,1345.0,0.06,1906.0,0.199,1345.0,0.12,1697.0,0.071,6925.0,0.395,3353.0,0.191
us-west-2,M3 Double Extra Large Instance,m3.2xlarge,30000.0,160,26,8,ssd,0.56,1.064,0.69,0.66,2.56,1.496,879.0,0.508,1032.0,0.857,879.0,0.638,1079.0,0.519,3135.0,1.432,1824.0,0.834,1448.0,0.219,1957.0,0.516,1448.0,0.349,1640.0,0.23,4157.0,1.108,2023.0,0.693,1772.0,0.146,2399.0,0.421,1772.0,0.276,1948.0,0.157,5036.0,0.862,2929.0,0.501,1372.0,0.401,1590.0,0.734,1372.0,0.531,1772.0,0.412,8466.0,1.289,4535.0,0.691,2283.0,0.173,3145.0,0.468,2283.0,0.303,2667.0,0.184,9146.0,1.045,4775.0,0.546,2691.0,0.12,3814.0,0.398,2691.0,0.25,3043.0,0.131,12940.0,0.738,6705.0,0.383
us-west-2,High-Compute Large,c3.large,3750.0,32,7,2,ssd,0.105,0.188,0.165,0.205,0.561,0.271,167.0,0.093,184.0,0.171,167.0,0.153,367.0,0.104,960.0,0.342,373.0,0.171,268.0,0.039,358.0,0.107,268.0,0.099,460.0,0.05,1206.0,0.3,402.0,0.137,326.0,0.026,435.0,0.091,326.0,0.086,502.0,0.037,1216.0,0.208,576.0,0.098,252.0,0.082,283.0,0.158,252.0,0.142,652.0,0.093,2352.0,0.329,999.0,0.153,414.0,0.034,566.0,0.105,414.0,0.094,798.0,0.045,2730.0,0.292,1017.0,0.116,508.0,0.022,689.0,0.089,508.0,0.082,860.0,0.033,3291.0,0.188,1405.0,0.08
us-west-2,High-Compute Extra Large,c3.xlarge,7500.0,80,14,4,ssd,0.21,0.376,0.27,0.31,1.066,0.542,333.0,0.186,368.0,0.342,333.0,0.246,533.0,0.197,1920.0,0.683,745.0,0.342,536.0,0.078,715.0,0.215,536.0,0.138,728.0,0.089,2291.0,0.57,805.0,0.275,652.0,0.053,868.0,0.182,652.0,0.113,828.0,0.064,2310.0,0.395,1152.0,0.198,503.0,0.164,565.0,0.317,503.0,0.224,903.0,0.175,4704.0,0.657,1998.0,0.305,827.0,0.068,1128.0,0.208,827.0,0.128,1211.0,0.079,5187.0,0.556,2033.0,0.232,1016.0,0.045,1395.0,0.18,1016.0,0.105,1368.0,0.056,6254.0,0.357,2809.0,0.16
us-west-2,High-Compute Double Extra Large,c3.2xlarge,15000.0,160,28,8,ssd,0.42,0.752,0.55,0.52,2.131,1.083,667.0,0.373,737.0,0.683,667.0,0.503,867.0,0.384,3840.0,1.366,1490.0,0.683,1072.0,0.157,1429.0,0.431,1072.0,0.287,1264.0,0.168,4582.0,1.141,1609.0,0.549,1304.0,0.104,1734.0,0.364,1304.0,0.234,1480.0,0.115,4622.0,0.79,2305.0,0.396,1006.0,0.327,1130.0,0.633,1006.0,0.457,1406.0,0.338,9408.0,1.314,3995.0,0.611,1655.0,0.137,2260.0,0.418,1655.0,0.267,2039.0,0.148,10373.0,1.112,4065.0,0.464,2031.0,0.09,2784.0,0.359,2031.0,0.22,2383.0,0.101,12507.0,0.713,5618.0,0.321
us-west-2,High-Compute Quadruple Extra Large,c3.4xlarge,30000.0,320,55,16,ssd,0.84,1.504,0.97,0.94,4.262,2.166,1333.0,0.745,1474.0,1.366,1333.0,0.875,1533.0,0.756,7680.0,2.732,2981.0,1.366,2145.0,0.313,2861.0,0.862,2145.0,0.443,2337.0,0.324,9164.0,2.281,3218.0,1.098,2608.0,0.209,3474.0,0.729,2608.0,0.339,2784.0,0.22,9243.0,1.581,4608.0,0.79,2012.0,0.654,2260.0,1.267,2012.0,0.784,2412.0,0.665,18816.0,2.629,7990.0,1.221,3310.0,0.272,4516.0,0.835,3310.0,0.402,3694.0,0.283,20747.0,2.222,8132.0,0.927,4063.0,0.18,5561.0,0.718,4063.0,0.31,4415.0,0.191,25014.0,1.428,11236.0,0.642
us-west-2,High-Compute Eight Extra Large,c3.8xlarge,60000.0,640,108,32,ssd,1.68,3.008,1.81,1.78,8.523,4.332,2666.0,1.49,2948.0,2.732,2666.0,1.62,2866.0,1.501,15359.0,5.465,5962.0,2.732,4289.0,0.626,5723.0,1.724,4289.0,0.756,4481.0,0.637,18327.0,4.562,6437.0,2.198,5216.0,0.417,6938.0,1.457,5216.0,0.547,5392.0,0.428,18485.0,3.163,9217.0,1.581,4024.0,1.308,4521.0,2.534,4024.0,1.438,4424.0,1.319,37633.0,5.258,15980.0,2.443,6619.0,0.545,9036.0,1.671,6619.0,0.675,7003.0,0.556,41493.0,4.444,16264.0,1.855,8126.0,0.359,11116.0,1.434,8126.0,0.489,8478.0,0.37,50028.0,2.856,22472.0,1.283
us-west-2,Cluster GPU Double Extra Large,g2.2xlarge,15000.0,60,26,8,ssd,0.65,0.767,0.78,0.75,3.816,0.957,1826.0,0.264,1836.0,0.389,1826.0,0.394,2026.0,0.278,3815.0,3.193,2147.0,0.572,1975.0,0.232,2036.0,0.349,1975.0,0.362,2167.0,0.245,4079.0,3.116,2419.0,0.513,2306.0,0.142,2974.0,0.183,2306.0,0.272,2482.0,0.154,11241.0,1.925,3483.0,0.265,4440.0,0.217,4826.0,0.341,4440.0,0.347,4840.0,0.231,21689.0,2.476,5334.0,0.474,5223.0,0.135,5364.0,0.306,5223.0,0.265,5607.0,0.148,25660.0,2.278,6005.0,0.424,6307.0,0.06,7131.0,0.146,6307.0,0.19,6659.0,0.072,37843.0,1.44,7734.0,0.196
us-west-2,Memory Optimized Large,r3.large,,32,,,,0.175,,,,,,,,,,,,,,,,,,486.0,0.049,1019.0,0.116,486.0,0.109,678.0,0.06,3451.0,0.394,1143.0,0.131,541.0,0.033,1183.0,0.073,541.0,0.093,717.0,0.044,4077.0,0.251,1349.0,0.083,,,,,,,,,,,,,851.0,0.044,1933.0,0.102,851.0,0.104,1235.0,0.055,9671.0,0.368,3101.0,0.118,1033.0,0.026,2444.0,0.062,1033.0,0.086,1385.0,0.037,10932.0,0.224,3502.0,0.072
us-west-2,Memory Optimized Extra Large,r3.xlarge,,80,,,,0.35,,,,,,,,,,,,,,,,,,972.0,0.098,1841.0,0.21,972.0,0.158,1164.0,0.109,5041.0,0.576,2181.0,0.249,1082.0,0.066,2136.0,0.131,1082.0,0.126,1258.0,0.077,5956.0,0.366,2579.0,0.159,,,,,,,,,,,,,1702.0,0.088,3492.0,0.184,1702.0,0.148,2086.0,0.099,14126.0,0.537,5939.0,0.226,2066.0,0.052,4415.0,0.112,2066.0,0.112,2418.0,0.063,15972.0,0.327,6713.0,0.138
us-west-2,Memory Optimized Double Extra Large,r3.2xlarge,,160,,,,0.7,,,,,,,,,,,,,,,,,,1944.0,0.196,3550.0,0.405,1944.0,0.326,2136.0,0.207,10026.0,1.144,4494.0,0.513,2164.0,0.132,4120.0,0.253,2164.0,0.262,2340.0,0.143,11849.0,0.728,5313.0,0.326,,,,,,,,,,,,,3404.0,0.177,6735.0,0.354,3404.0,0.307,3788.0,0.188,28093.0,1.069,12220.0,0.465,4132.0,0.104,8515.0,0.216,4132.0,0.234,4484.0,0.115,31755.0,0.651,13819.0,0.283
us-west-2,Memory Optimized Quadruple Extra Large,r3.4xlarge,,320,,,,1.4,,,,,,,,,,,,,,,,,,3888.0,0.392,6245.0,0.713,3888.0,0.522,4080.0,0.403,16819.0,1.92,6837.0,0.781,4328.0,0.264,7248.0,0.446,4328.0,0.394,4504.0,0.275,19878.0,1.222,8080.0,0.497,,,,,,,,,,,,,6808.0,0.353,11849.0,0.623,6808.0,0.483,7192.0,0.364,47133.0,1.794,18593.0,0.708,8264.0,0.208,14980.0,0.38,8264.0,0.338,8616.0,0.219,53279.0,1.092,21011.0,0.43
us-west-2,Memory Optimized Eight Extra Large,r3.8xlarge,,640,,,,2.8,,,,,,,,,,,,,,,,,,7776.0,0.784,8410.0,0.96,7776.0,0.914,7968.0,0.795,31637.0,3.611,11550.0,1.319,8656.0,0.528,9680.0,0.595,8656.0,0.658,8832.0,0.539,37387.0,2.298,13649.0,0.839,,,,,,,,,,,,,13616.0,0.707,15453.0,0.812,13616.0,0.837,14000.0,0.718,88642.0,3.373,31391.0,1.195,16528.0,0.416,19395.0,0.492,16528.0,0.546,16880.0,0.427,100203.0,2.053,35479.0,0.727
us-west-2,High I/O Extra Large,i2.xlarge,30500.0,720,14,4,ssd,0.853,0.973,0.913,0.953,1.23,0.993,644.0,0.369,644.0,0.489,644.0,0.429,844.0,0.383,1706.0,0.779,1031.0,0.471,1493.0,0.227,1493.0,0.347,1493.0,0.287,1685.0,0.24,2034.0,0.697,1190.0,0.408,1820.0,0.155,1820.0,0.275,1820.0,0.215,1996.0,0.167,2299.0,0.394,1817.0,0.287,971.0,0.288,971.0,0.408,971.0,0.348,1371.0,0.302,4496.0,0.684,2471.0,0.376,2283.0,0.176,2283.0,0.296,2283.0,0.236,2667.0,0.189,5217.0,0.596,2694.0,0.307,2740.0,0.121,2740.0,0.241,2740.0,0.181,3092.0,0.133,5443.0,0.311,2897.0,0.245
us-west-2,High I/O Double Extra Large,i2.2xlarge,61000.0,1440,27,8,ssd,1.705,1.946,1.835,1.805,2.459,1.986,1288.0,0.739,1288.0,0.979,1288.0,0.799,1488.0,0.753,3412.0,1.558,2062.0,0.942,2987.0,0.455,2987.0,0.695,2987.0,0.515,3179.0,0.468,4068.0,1.393,2380.0,0.815,3640.0,0.311,3640.0,0.551,3640.0,0.371,3816.0,0.323,4599.0,0.788,3635.0,0.573,1942.0,0.575,1942.0,0.815,1942.0,0.635,2342.0,0.589,8992.0,1.369,4942.0,0.752,4567.0,0.353,4567.0,0.593,4567.0,0.413,4951.0,0.366,10435.0,1.191,5387.0,0.613,5480.0,0.241,5480.0,0.481,5480.0,0.301,5832.0,0.253,10886.0,0.622,5794.0,0.491
us-west-2,High I/O Quadruple Extra Large,i2.4xlarge,122000.0,2880,53,16,ssd,3.41,3.891,3.54,3.51,4.918,3.971,2576.0,1.477,2576.0,1.957,2576.0,1.537,2776.0,1.491,6824.0,3.116,4124.0,1.883,5973.0,0.909,5973.0,1.389,5973.0,0.969,6165.0,0.922,8135.0,2.786,4760.0,1.63,7280.0,0.621,7280.0,1.101,7280.0,0.681,7456.0,0.633,9197.0,1.575,7269.0,1.146,3884.0,1.15,3884.0,1.63,3884.0,1.21,4284.0,1.164,17984.0,2.737,9884.0,1.504,9133.0,0.705,9133.0,1.185,9133.0,0.765,9517.0,0.718,20869.0,2.382,10774.0,1.226,10960.0,0.482,10960.0,0.962,10960.0,0.542,11312.0,0.494,21772.0,1.243,11587.0,0.981
us-west-2,High I/O Eight Extra Large,i2.8xlarge,244000.0,5760,104,32,ssd,6.82,7.782,6.95,6.92,9.836,7.942,5152.0,2.954,5152.0,3.914,5152.0,3.014,5352.0,2.968,13648.0,6.232,8248.0,3.766,11946.0,1.818,11946.0,2.778,11946.0,1.878,12138.0,1.831,16270.0,5.572,9520.0,3.26,14560.0,1.242,14560.0,2.202,14560.0,1.302,14736.0,1.254,18394.0,3.15,14538.0,2.292,7768.0,2.3,7768.0,3.26,7768.0,2.36,8168.0,2.314,35968.0,5.474,19768.0,3.008,18266.0,1.41,18266.0,2.37,18266.0,1.47,18650.0,1.423,41738.0,4.764,21548.0,2.452,21920.0,0.964,21920.0,1.924,21920.0,1.024,22272.0,0.976,43544.0,2.486,23174.0,1.962
us-west-2,High-Storage Eight Extra Large,hs1.8xlarge,117000.0,48000,35,16,ephemeral,4.6,4.931,4.73,4.7,8.35,5.144,3968.0,2.24,3968.0,2.571,3968.0,2.34,4168.0,2.254,9493.0,5.359,4770.0,2.693,9200.0,1.38,9200.0,1.711,9200.0,1.48,9392.0,1.393,23396.0,3.509,11261.0,1.689,11213.0,0.92,11213.0,1.251,11213.0,1.02,11389.0,0.932,30324.0,2.488,13987.0,1.148,5997.0,1.81,5997.0,2.141,5997.0,1.91,6397.0,1.824,17030.0,5.14,6599.0,2.293,14103.0,1.11,14103.0,1.441,14103.0,1.21,14487.0,1.123,54729.0,3.314,22221.0,1.346,16924.0,0.76,16924.0,1.091,16924.0,0.86,17276.0,0.772,70253.0,2.481,26559.0,0.938
us-west-2,Micro,t1.micro,615.0,160,0,1,ebs,0.02,0.02,0.08,0.03,,0.07,23.0,0.012,23.0,0.014,23.0,0.072,48.0,0.018,,,110.0,0.05,54.0,0.007,54.0,0.009,54.0,0.067,78.0,0.013,,,130.0,0.044,62.0,0.005,62.0,0.006,62.0,0.065,84.0,0.011,,,140.0,0.024,35.0,0.012,35.0,0.012,35.0,0.072,85.0,0.018,,,310.0,0.05,82.0,0.007,82.0,0.009,82.0,0.067,130.0,0.013,,,370.0,0.042,100.0,0.005,100.0,0.007,100.0,0.065,144.0,0.011,,,380.0,0.022
us-west-2,Standard Small,m1.small,1700.0,160,1,1,ephemeral,0.044,0.075,0.104,0.074,0.629,0.139,61.0,0.034,69.0,0.059,61.0,0.094,161.0,0.045,1020.0,0.464,190.0,0.09,101.0,0.015,134.0,0.037,101.0,0.075,197.0,0.026,1260.0,0.432,220.0,0.077,123.0,0.01,165.0,0.03,123.0,0.07,211.0,0.021,1420.0,0.242,280.0,0.048,96.0,0.027,106.0,0.051,96.0,0.087,296.0,0.038,2990.0,0.455,500.0,0.08,157.0,0.012,214.0,0.033,157.0,0.072,349.0,0.023,3690.0,0.422,580.0,0.067,188.0,0.009,259.0,0.029,188.0,0.069,364.0,0.02,4100.0,0.234,690.0,0.04
us-west-2,Standard Medium,m1.medium,3750.0,410,2,1,ephemeral,0.087,0.149,0.147,0.187,0.744,0.237,122.0,0.068,138.0,0.118,122.0,0.128,322.0,0.079,1130.0,0.518,300.0,0.14,202.0,0.031,269.0,0.074,202.0,0.091,394.0,0.042,1400.0,0.478,342.0,0.118,247.0,0.02,327.0,0.061,247.0,0.08,423.0,0.031,1620.0,0.279,466.0,0.079,192.0,0.054,213.0,0.103,192.0,0.114,592.0,0.065,3280.0,0.5,790.0,0.12,314.0,0.024,433.0,0.068,314.0,0.084,698.0,0.035,4010.0,0.458,855.0,0.098,375.0,0.017,519.0,0.057,375.0,0.077,727.0,0.028,4570.0,0.261,1102.0,0.063
us-west-2,Standard Large,m1.large,7500.0,850,4,2,ephemeral,0.175,0.299,0.235,0.275,0.955,0.435,243.0,0.136,276.0,0.235,243.0,0.196,443.0,0.147,1370.0,0.624,540.0,0.24,404.0,0.061,537.0,0.147,404.0,0.121,596.0,0.072,1637.0,0.56,599.0,0.205,493.0,0.041,660.0,0.123,493.0,0.101,669.0,0.052,1989.0,0.341,855.0,0.145,384.0,0.108,425.0,0.204,384.0,0.168,784.0,0.119,3860.0,0.587,1370.0,0.21,628.0,0.049,861.0,0.134,628.0,0.109,1012.0,0.06,4557.0,0.52,1463.0,0.167,750.0,0.034,1052.0,0.116,750.0,0.094,1102.0,0.045,5400.0,0.308,1986.0,0.114
us-west-2,Standard Extra Large,m1.xlarge,15000.0,1690,8,4,ephemeral,0.35,0.598,0.41,0.45,1.362,0.83,486.0,0.271,552.0,0.47,486.0,0.331,686.0,0.282,2060.0,0.77,1000.0,0.46,809.0,0.123,1076.0,0.294,809.0,0.183,1001.0,0.134,2641.0,0.618,1112.0,0.383,987.0,0.082,1323.0,0.246,987.0,0.142,1163.0,0.093,2708.0,0.465,1634.0,0.278,768.0,0.215,850.0,0.408,768.0,0.275,1168.0,0.226,4860.0,0.71,2530.0,0.38,1256.0,0.097,1727.0,0.269,1256.0,0.157,1640.0,0.108,5700.0,0.58,2670.0,0.305,1501.0,0.067,2089.0,0.23,1501.0,0.127,1853.0,0.078,7002.0,0.4,3762.0,0.215
us-west-2,High-CPU Medium,c1.medium,1700.0,350,5,2,ephemeral,0.13,0.21,0.19,0.23,,0.31,161.0,0.09,178.0,0.165,161.0,0.15,361.0,0.101,,,390.0,0.18,333.0,0.049,393.0,0.118,333.0,0.109,525.0,0.06,,,470.0,0.159,405.0,0.032,472.0,0.099,405.0,0.092,581.0,0.043,,,640.0,0.111,243.0,0.079,273.0,0.153,243.0,0.139,643.0,0.09,,,1070.0,0.16,514.0,0.042,607.0,0.112,514.0,0.102,898.0,0.053,,,1200.0,0.137,631.0,0.028,739.0,0.095,631.0,0.088,983.0,0.039,,,1590.0,0.091
us-west-2,High-CPU Extra Large,c1.xlarge,7000.0,1690,20,8,ephemeral,0.52,0.84,0.65,0.62,2.124,1.16,644.0,0.36,712.0,0.66,644.0,0.49,844.0,0.371,3710.0,1.32,1440.0,0.66,1332.0,0.194,1566.0,0.472,1332.0,0.324,1524.0,0.205,4567.0,1.137,1656.0,0.565,1620.0,0.13,1895.0,0.398,1620.0,0.26,1796.0,0.141,4606.0,0.788,2372.0,0.407,972.0,0.316,1092.0,0.612,972.0,0.446,1372.0,0.327,9090.0,1.27,3860.0,0.59,2056.0,0.169,2426.0,0.449,2056.0,0.299,2440.0,0.18,10339.0,1.107,4185.0,0.477,2524.0,0.112,2962.0,0.382,2524.0,0.242,2876.0,0.123,12466.0,0.711,5782.0,0.33
us-west-2,Cluster Compute Eight Extra Large,cc2.8xlarge,60500.0,3370,88,32,ephemeral,2.0,2.57,2.13,2.1,4.41,2.775,1762.0,0.904,1762.0,1.114,1762.0,1.034,1962.0,0.918,8060.0,3.683,2660.0,1.22,4146.0,0.54,4146.0,0.75,4146.0,0.67,4338.0,0.553,9880.0,3.383,3130.0,1.071,5000.0,0.361,5000.0,0.571,5000.0,0.491,5176.0,0.373,11060.0,1.264,5380.0,0.614,2710.0,0.904,2710.0,1.114,2710.0,1.034,3110.0,0.918,23680.0,3.604,7480.0,1.14,6378.0,0.54,6378.0,0.75,6378.0,0.67,6762.0,0.553,28120.0,3.21,7870.0,0.899,7670.0,0.361,7670.0,0.571,7670.0,0.491,8022.0,0.373,29530.0,1.123,12470.0,0.475
us-west-2,Hi-Memory Extra Large,m2.xlarge,17100.0,420,6,2,ephemeral,0.245,0.345,0.305,0.345,1.084,0.445,272.0,0.169,353.0,0.29,272.0,0.229,472.0,0.18,1480.0,0.675,650.0,0.3,391.0,0.062,652.0,0.156,391.0,0.122,583.0,0.073,1780.0,0.611,688.0,0.238,473.0,0.041,795.0,0.122,473.0,0.101,649.0,0.052,2180.0,0.373,967.0,0.166,398.0,0.136,548.0,0.245,398.0,0.196,798.0,0.147,4100.0,0.624,1610.0,0.24,595.0,0.048,1014.0,0.138,595.0,0.108,979.0,0.059,4850.0,0.553,1609.0,0.184,719.0,0.032,1238.0,0.112,719.0,0.092,1071.0,0.043,5730.0,0.327,2158.0,0.123
us-west-2,Hi-Memory Double Extra Large,m2.2xlarge,34200.0,850,13,4,ephemeral,0.49,0.69,0.55,0.59,1.489,0.85,544.0,0.338,706.0,0.58,544.0,0.398,744.0,0.349,2220.0,0.91,1230.0,0.56,781.0,0.124,1297.0,0.309,781.0,0.184,973.0,0.135,2880.0,0.653,1302.0,0.445,947.0,0.082,1588.0,0.243,947.0,0.142,1123.0,0.093,2826.0,0.484,1860.0,0.319,796.0,0.272,1096.0,0.49,796.0,0.332,1196.0,0.283,5100.0,0.82,3010.0,0.46,1190.0,0.096,2028.0,0.277,1190.0,0.156,1574.0,0.107,5904.0,0.603,2976.0,0.34,1438.0,0.064,2492.0,0.225,1438.0,0.124,1790.0,0.075,7038.0,0.401,4101.0,0.234
us-west-2,Hi-Memory Quadruple Extra Large,m2.4xlarge,68400.0,1690,26,8,ephemeral,0.98,1.38,1.11,1.08,2.976,1.7,1088.0,0.676,1412.0,1.16,1088.0,0.806,1288.0,0.687,4440.0,1.82,2460.0,1.12,1562.0,0.247,2594.0,0.618,1562.0,0.377,1754.0,0.258,5760.0,1.307,2604.0,0.892,1894.0,0.163,3172.0,0.485,1894.0,0.293,2070.0,0.174,5652.0,0.968,3729.0,0.638,1592.0,0.544,2192.0,0.98,1592.0,0.674,1992.0,0.555,10200.0,1.64,6010.0,0.91,2381.0,0.192,4054.0,0.553,2381.0,0.322,2765.0,0.203,11808.0,1.206,5961.0,0.681,2875.0,0.127,4969.0,0.449,2875.0,0.257,3227.0,0.138,14076.0,0.804,8203.0,0.469
us-west-2,High-Memory Cluster Eight Extra Large,cr1.8xlarge,244000.0,240,88,32,ssd,3.5,3.831,3.63,3.6,7.25,4.044,2474.0,1.54,2474.0,1.871,2474.0,1.67,2674.0,1.554,7565.0,4.709,3213.0,2.0,5958.0,0.93,5958.0,1.261,5958.0,1.06,6150.0,0.943,19834.0,3.096,7973.0,1.244,7220.0,0.62,7220.0,0.951,7220.0,0.75,7396.0,0.632,25967.0,2.23,9942.0,0.854,3846.0,1.225,3846.0,1.555,3846.0,1.355,4246.0,1.239,14363.0,4.574,5373.0,1.711,9006.0,0.735,9006.0,1.066,9006.0,0.865,9390.0,0.748,38061.0,3.379,12789.0,1.135,10880.0,0.49,10880.0,0.821,10880.0,0.62,11232.0,0.502,55037.0,2.56,17129.0,0.797
us-west-2,High I/O Quadruple Extra Large,hi1.4xlarge,60500.0,2048,35,16,ssd,3.1,3.58,3.23,3.2,4.607,3.66,2576.0,1.477,2576.0,1.957,2576.0,1.577,2776.0,1.491,6824.0,3.116,4124.0,1.883,5973.0,0.909,5973.0,1.389,5973.0,1.009,6165.0,0.922,8135.0,2.786,4760.0,1.63,7280.0,0.621,7280.0,1.101,7280.0,0.721,7456.0,0.633,9197.0,1.575,7269.0,1.146,3884.0,1.15,3884.0,1.63,3884.0,1.25,4284.0,1.164,17984.0,2.737,9884.0,1.504,9133.0,0.705,9133.0,1.185,9133.0,0.805,9517.0,0.718,20869.0,2.382,10774.0,1.226,10960.0,0.482,10960.0,0.962,10960.0,0.582,11312.0,0.494,21772.0,1.243,11587.0,0.981
us-west,M3 Medium Instance,m3.medium,3750.0,4,3,1,ssd,0.077,0.14,0.137,0.177,0.374,0.201,110.0,0.077,129.0,0.126,110.0,0.137,310.0,0.091,424.0,0.194,261.0,0.119,181.0,0.035,243.0,0.074,181.0,0.095,373.0,0.046,600.0,0.16,294.0,0.101,222.0,0.029,300.0,0.066,222.0,0.089,398.0,0.04,726.0,0.125,443.0,0.076,172.0,0.063,199.0,0.107,172.0,0.123,572.0,0.074,1139.0,0.173,648.0,0.098,286.0,0.029,394.0,0.067,286.0,0.089,670.0,0.04,1318.0,0.151,704.0,0.08,337.0,0.023,477.0,0.06,337.0,0.083,689.0,0.034,1865.0,0.107,1017.0,0.058
